order_id,review_score,review_text
07e2767fa261c1d690924d6d3baa379f,5,SEM QUEIXAS
b030a71673f17a9eebed29d9a7dfa2d8,4,"Produto chegou conforme descrito e antes do prazo. Cumpre o prometido.
Só achei as teclas de passar um pouco duras, faz um barulinho seco ao clicar."
5bfce111a3fc0a622ab552626165ab2f,3,demora na entrega. e produto pesado demais
c5e79fde963dea8e49adf06e70fefa9f,5,Fui muiro bem atendido.
c7b4a7a4d974418197e38cc0f6c2ea85,5,Muito bom
e4e28f77bd50442ca9e5d0b0fd55c7bc,5,"produto entregue no prazo e muito bem embalado como de costume
sem duvida eu recomendo"
0fb96d30f2a1a1c89f5795583387d89c,5,A LOJA É MUITO CONFIÁVEL E ATENCIOSA.
21b9bb429b09c08b2ae81e3ed20e8d2f,5,"Excelente, recebi um dia antes do prazo e muito fácil de rastrear a entrega."
232674aa2334edfdd9c2dbe346291712,2,"oi e como fica o produto,que ate agora não chegou."
6f79ab44c1626d8b73b8797f179b9c0a,5,Recomendo 
4e743d407939e965ac0b7bb694e67eed,5,"Deu tudo certo , gostei e recomendo, produto bom e perfeito "
53a71627049b3cd04fe655e979d8b4a6,1,sem conseguir acessar a área de cancelamento do pedido
b4138bbc55ffe9ddeb824f7e3068fc50,4,Otimo produto porem caro demais !!! 
c62449227473f63a96e42cec192ec143,1,Já é a segunda compra que não recebo.
9a327776c4009cd0980497d9386b1472,5,Boa loja
411cb689d52e7d0468af7071748087b3,3,foi boa compra
7a541b113a2aad3f0854eed998dc7ee8,5,Muito bom
266d1afe42f1f376499cdd8e6df164d9,5,Good. Very good.
b4569b2bb5498e383b5e2bc4065a2a41,5,Adorei a compra. Farei mais compras futuramente. Com certeza. 
43bf8ef114cb9b805735d15447abbc94,4,Ótimo produto! Atendeu as minhas expectativas! Os tamanhos excelentes! Gostei da vedação! 
68931f0c8d94e2097accb925c9d37627,1,Por enquanto recebi apenas o Recibo e um bilhete dizendo que meu produto está vindo a partir de outro Centro de Distribuição. Ainda estou esperando
e3e54348392f8105ec69356675788604,5,"Envio rápido , entrega antes do prazo previsto. E o produto atendeu as expectativas."
ab3bd9f18dd9f2de792a4bc122f64d1d,4,bom
5b18e0708f150becd4334b9e3d79fbd4,4,"Comprei uma cadeira com encosto e assento em polipropileno na cor branca, com regulagem de altura e recebi um outro produto"
71bbd7731c71cbe0218ebf8e079efc2e,1,Não recebi até agora e gostaria de saber o que vou dar de Natal para meu neto.Quando vou receber o meu dinheiro de volta antes do Natal????
f6f6a68d78c7dd4b319f6df3c846094b,1,Não passou o prazo ainda.
c308c2ae15a981044aa6d93a3c6bcf1a,5,"Ótimo vendedor, recebi o produto no prazo combinado. 
Ótimo produto ."
e0785eb4173f81ac87d13c38100670dd,5,"esse produto chegou certo,mas tive 3 pedidos que levei tufo,não veio,ninguém respondeu nada"
1bf8b5f1e3bc76dcaa6414b170ef3ae0,5,"Muito bom comprar mas lannister, entrega antes do prazo e produto em perfeitas condições, além do ótimo preço! Estou muito satisfeito, ótimo negócio, muito obrigado! "
4091d93f24146cb228adc17dad467e8f,5,"Tudo dentro do prazo, otimo produto."
18de001c224789d86e9b702f0c0dde74,5,Excelente. Entrega dentro do prazo. Produto muito bem embalado.
c268faae84283868985823042e4ffb40,5,Gostei 
641ad3cb05f84cf88956f08997234c7a,3,muito bom recomendo
1d671f4aa75c57086215073b775c7f41,5,Super recomendo
aa1ae480ffdf6aefc191b45ebd4fdedb,1,Estou aguardando o estorno do valor.
