review_score,review_text,sentimento,x,y
5,SEM QUEIXAS,Muito Positivo,14.30701,0.601066
4,"Produto chegou conforme descrito e antes do prazo. Cumpre o prometido.
Só achei as teclas de passar um pouco duras, faz um barulinho seco ao clicar.",Positivo,8.748125,10.134433
3,demora na entrega. e produto pesado demais,Neutro,10.064547,10.715683
5,Fui muiro bem atendido.,Muito Positivo,14.019771,7.504578
5,Muito bom,Muito Positivo,18.32884,-3.1915092
5,"produto entregue no prazo e muito bem embalado como de costume
sem duvida eu recomendo",Muito Positivo,14.205188,11.815871
5,A LOJA É MUITO CONFIÁVEL E ATENCIOSA.,Muito Positivo,13.139524,1.9865481
5,"Excelente, recebi um dia antes do prazo e muito fácil de rastrear a entrega.",Muito Positivo,14.813029,9.68693
2,"oi e como fica o produto,que ate agora não chegou.",Negativo,8.857464,12.637109
5,Recomendo ,Muito Positivo,11.1372595,-6.014024
5,"Deu tudo certo , gostei e recomendo, produto bom e perfeito ",Muito Positivo,12.884236,10.791563
1,sem conseguir acessar a área de cancelamento do pedido,Muito Negativo,7.5146904,12.515903
4,Otimo produto porem caro demais !!! ,Positivo,11.894683,10.965074
1,Já é a segunda compra que não recebo.,Muito Negativo,7.3417506,10.659343
5,Boa loja,Muito Positivo,12.014257,12.913812
3,foi boa compra,Neutro,12.195852,11.404467
5,Muito bom,Muito Positivo,18.352587,-3.215344
5,Good. Very good.,Muito Positivo,18.321505,-3.1840858
5,Adorei a compra. Farei mais compras futuramente. Com certeza. ,Muito Positivo,11.991113,11.5401945
4,Ótimo produto! Atendeu as minhas expectativas! Os tamanhos excelentes! Gostei da vedação! ,Positivo,12.8699875,10.415554
1,Por enquanto recebi apenas o Recibo e um bilhete dizendo que meu produto está vindo a partir de outro Centro de Distribuição. Ainda estou esperando,Muito Negativo,7.7163,11.888238
5,"Envio rápido , entrega antes do prazo previsto. E o produto atendeu as expectativas.",Muito Positivo,15.245543,11.400073
4,bom,Positivo,15.428778,0.92468673
4,"Comprei uma cadeira com encosto e assento em polipropileno na cor branca, com regulagem de altura e recebi um outro produto",Positivo,7.1468205,9.327686
1,Não recebi até agora e gostaria de saber o que vou dar de Natal para meu neto.Quando vou receber o meu dinheiro de volta antes do Natal????,Muito Negativo,8.24455,12.950476
1,Não passou o prazo ainda.,Muito Negativo,8.407429,13.453711
5,"Ótimo vendedor, recebi o produto no prazo combinado. 
Ótimo produto .",Muito Positivo,13.637057,11.481973
5,"esse produto chegou certo,mas tive 3 pedidos que levei tufo,não veio,ninguém respondeu nada",Muito Positivo,7.855342,11.662544
5,"Muito bom comprar mas lannister, entrega antes do prazo e produto em perfeitas condições, além do ótimo preço! Estou muito satisfeito, ótimo negócio, muito obrigado! ",Muito Positivo,12.557018,12.077773
5,"Tudo dentro do prazo, otimo produto.",Muito Positivo,5.9244733,16.497591
5,Excelente. Entrega dentro do prazo. Produto muito bem embalado.,Muito Positivo,14.28027,11.671832
5,Gostei ,Muito Positivo,11.961295,7.160397
3,muito bom recomendo,Neutro,13.385246,7.3299003
5,Super recomendo,Muito Positivo,13.401626,7.290847
1,Estou aguardando o estorno do valor.,Muito Negativo,9.872032,13.633216
5,Produto de ótima qualidade e entrega super rápida.,Muito Positivo,12.928467,9.847517
5,"entrega antes do prazo estabelecido, satisfeita. Parabéns a lannister. Com.",Muito Positivo,14.854733,9.056007
4,Recebi antes do prazo de entrega,Positivo,15.7569895,9.619936
